"","Speaker","Text","Scene","Episode","line_order_in_episode"
"1","woman"," Oh, my God.",1,"01x01 - Episode One",1
"2","man"," That's impossible. I'll take it up there now.",1,"01x01 - Episode One",2
"3","woman"," Don't be stupid. None of them will be up for hours and what difference will it make?",1,"01x01 - Episode One",3
"4","woman"," Jimmy'll do it when he comes in.",1,"01x01 - Episode One",4
"5","daisy mason"," Six o'clock!",2,"01x01 - Episode One",5
"6","gwen"," Thank you, Daisy. Anna.",2,"01x01 - Episode One",6
"7","anna bates"," For once in my life I'd like to sleep until I woke up natural.",2,"01x01 - Episode One",7
"8","mrs patmore"," Is your fire still in?",3,"01x01 - Episode One",8
"9","daisy mason"," Yes, Mrs Patmore.",3,"01x01 - Episode One",9
"10","mrs patmore"," Oh, my, my, will wonders never cease? Have you laid the servants' hall breakfast?",3,"01x01 - Episode One",10
"11","daisy mason"," Yes, Mrs Patmore.",3,"01x01 - Episode One",11
"12","mrs patmore"," And finished blacking that stove?",3,"01x01 - Episode One",12
"13","daisy mason"," Yes, Mrs Patmore.",3,"01x01 - Episode One",13
"14","mrs patmore"," What about the bedroom fires?",3,"01x01 - Episode One",14
"15","daisy mason"," All lit, Mrs Patmore.",3,"01x01 - Episode One",15
"16","mrs patmore"," Right, well, take your things and get started on the fires on the ground floor.",3,"01x01 - Episode One",16
"17","housemaid 2"," Now hurry up.",3,"01x01 - Episode One",17
"18","thomas"," Any sign of William?",3,"01x01 - Episode One",18
"19","housemaid 2"," No.",3,"01x01 - Episode One",19
"20","thomas"," Where have you been?",3,"01x01 - Episode One",20
"21","william"," I'm not late, am I?",3,"01x01 - Episode One",21
"22","thomas"," You're late when I say you're late.",3,"01x01 - Episode One",22
"23","anna bates"," Daisy? Whatever are you doing there crouching in the dark?",4,"01x01 - Episode One",23
"24","daisy mason"," You weren't here and I didn't want to touch the curtains with my dirty hands.",4,"01x01 - Episode One",24
"25","gwen"," And quite right, too.",4,"01x01 - Episode One",25
"26","anna bates"," Why didn't you put the lights on?",4,"01x01 - Episode One",26
"27","daisy mason"," I daren't.",4,"01x01 - Episode One",27
"28","gwen"," Well, it's electricity, not the devil's handiwork. You'll have to get used to it sooner or later.",4,"01x01 - Episode One",28
"29","anna bates"," Skelton Park have even got it in the kitchens.",4,"01x01 - Episode One",29
"30","daisy mason"," What for?",4,"01x01 - Episode One",30
"31","william"," Breakfast is ready, Mr Carson.",5,"01x01 - Episode One",31
"32","mr carson"," Ah, William, any papers yet?",5,"01x01 - Episode One",32
"33","william"," They're late.",5,"01x01 - Episode One",33
"34","mr carson"," They certainly are. Get the board out so you can do them as soon as they're here.",5,"01x01 - Episode One",34
"35","mrs hughes"," Is the library tidy?",6,"01x01 - Episode One",35
"36","anna bates"," Yes, Mrs Hughes.",6,"01x01 - Episode One",36
"37","mrs hughes"," Good. I want the dining room given a proper going over today. You can do it when they've finished their breakfast. Oh, heavens, girl! You're building a fire, not inventing it. How many have you done?",6,"01x01 - Episode One",37
"38","daisy mason"," This is my last till they come downstairs.",6,"01x01 - Episode One",38
"39","mrs hughes"," Very well. Now, get back down to the kitchens before anyone sees you.",6,"01x01 - Episode One",39
"40","thomas"," And they're off.",8,"01x01 - Episode One",40
"41","mrs hughes"," No rest for the wicked.",8,"01x01 - Episode One",41
"42","mrs patmore"," Lady Mary. Are the tea trays ready?",8,"01x01 - Episode One",42
"43","anna bates"," All ready, Mrs Patmore, if the water's boiled. Could you give us a hand to take the other two up?",8,"01x01 - Episode One",43
"44","miss o'brien"," I've got Her Ladyship's to carry.",8,"01x01 - Episode One",44
"45","gwen"," I'll help.",8,"01x01 - Episode One",45
"46","mrs hughes"," Back door.",8,"01x01 - Episode One",46
"47","mr carson"," The papers at last. William.",8,"01x01 - Episode One",47
"48","william"," You're late.",9,"01x01 - Episode One",48
"49","paperboy"," Yeah. I--I know, but--",9,"01x01 - Episode One",49
"50","william"," But what?",9,"01x01 - Episode One",50
"51","paperboy"," You'll see.",9,"01x01 - Episode One",51
"52","mr carson"," Do The Times first. He only reads that at breakfast, and The Sketch for Her Ladyship. You can manage the others later if need be.",10,"01x01 - Episode One",52
"53","daisy mason"," Why are the papers ironed?",11,"01x01 - Episode One",53
"54","mrs patmore"," What's it to you?",11,"01x01 - Episode One",54
"55","miss o'brien"," To dry the ink, silly. We won't want His Lordship's hands as black as yours.",11,"01x01 - Episode One",55
"56","william"," Mr Carson, I think you ought to see this.",11,"01x01 - Episode One",56
"57","mrs hughes"," I can't make myself believe it.",12,"01x01 - Episode One",57
"58","mrs patmore"," Me neither.",12,"01x01 - Episode One",58
"59","thomas"," His Lordship's dressed.",12,"01x01 - Episode One",59
"60","mrs patmore"," William! Will you stop talking and take this kedgeree up, and mind the burners are still lit.",12,"01x01 - Episode One",60
"61","william"," Yes, Mrs Patmore.",12,"01x01 - Episode One",61
"62","thomas"," Is it really true?",12,"01x01 - Episode One",62
"63","william"," Afraid so.",12,"01x01 - Episode One",63
"64","mrs patmore"," Nothing in life is sure.",12,"01x01 - Episode One",64
"65","robert, earl of grantham"," Morning, Carson.",13,"01x01 - Episode One",65
"66","mr carson"," Good morning, my lord.",13,"01x01 - Episode One",66
"67","robert, earl of grantham"," Is it true what they're saying?",13,"01x01 - Episode One",67
"68","mr carson"," I believe so, my lord.",13,"01x01 - Episode One",68
"69","robert, earl of grantham"," I'm afraid we'll know some people on it. I don't suppose there are any lists of survivors yet?",13,"01x01 - Episode One",69
"70","mr carson"," I understand most of the ladies were taken off in time.",13,"01x01 - Episode One",70
"71","robert, earl of grantham"," You mean the ladies in first class?",13,"01x01 - Episode One",71
"72","robert, earl of grantham"," God help the poor devils below decks.",13,"01x01 - Episode One",72
"73","robert, earl of grantham"," On their way to a better life. What a tragedy.",13,"01x01 - Episode One",73
"74","lady edith"," When Anna told me, I thought she must've dreamt it.",13,"01x01 - Episode One",74
"75","lady mary"," Do we know anyone on board?",13,"01x01 - Episode One",75
"76","robert, earl of grantham"," Your mother knows the Asters. At least, she knows him. We dined with Lady Rothfuss last month. There are bound to be others.",13,"01x01 - Episode One",76
"77","lady edith"," I thought it was supposed to be unsinkable.",13,"01x01 - Episode One",77
"78","robert, earl of grantham"," Every mountain is unclimbable until someone climbs it, so every ship is unsinkable until it sinks.",13,"01x01 - Episode One",78
"79","thomas"," My lady.",13,"01x01 - Episode One",79
"80","lady sybil"," Good morning, Papa.",13,"01x01 - Episode One",80
"81","robert, earl of grantham"," Morning. What's that?",13,"01x01 - Episode One",81
"82","lady sybil"," Just arrived. Telegram.",13,"01x01 - Episode One",82
"83","robert, earl of grantham"," Is Her Ladyship awake?",14,"01x01 - Episode One",83
"84","miss o'brien"," Yes, Milord. I'm just going to take in her breakfast.",14,"01x01 - Episode One",84
"85","robert, earl of grantham"," Thank you.",14,"01x01 - Episode One",85
"86","robert, earl of grantham"," May I come in?",14,"01x01 - Episode One",86
"87","cora, countess of grantham"," Isn't this terrible? When you think how excited Lucy Rothfuss was at the prospect. It's too awful for any words. Did J.J. Aster get off? Of course, that new wife of his has bound to have been rescued.",15,"01x01 - Episode One",87
"88","robert, earl of grantham"," I've had a telegram from George Murray. One of his partners is in New York.",15,"01x01 - Episode One",88
"89","cora, countess of grantham"," Yes?",15,"01x01 - Episode One",89
"90","robert, earl of grantham"," It seems James and Patrick were on board.",15,"01x01 - Episode One",90
"91","cora, countess of grantham"," What? They can't have been. They weren't going over till may.",15,"01x01 - Episode One",91
"92","robert, earl of grantham"," Then they changed their plans. They're definitely on the passenger list.",15,"01x01 - Episode One",92
"93","cora, countess of grantham"," Thank you, O'Brien, that'll be all for the moment. (to Robert) But surely there were picked up?",15,"01x01 - Episode One",93
"94","robert, earl of grantham"," It doesn't look like it.",15,"01x01 - Episode One",94
"95","cora, countess of grantham"," What?",15,"01x01 - Episode One",95
"96","cora, countess of grantham"," Neither of them? You must tell Mary. She can't hear about it from anyone else.",15,"01x01 - Episode One",96
